Tweet,Keyword,pcl
Wasim bhai popular aur jhoote case uthane k sath sath ek genuine case bhi uthalo mazdoor ka hyderbad WASA ke wo hazar ke muntazir hai mahine se..khuda ka wasta hai TRP ki guaranty hai buhat ayegi ap case utha to apki is bat pe TRP ayegi ke koi genuine case uthaya apne,mazdoor,1
Hahaha khob Mazaq ha jo yaha wazir a azam ka haq or speaker ka haq cheen ly wo mazdoor ka haq dy gy.,mazdoor,0
chan sahb mazloom steel mill k mazdoor aap se bht umedeen rakhtey hen,mazdoor,0
Kitny mazdoor reh huye thy unku list share kro ye emotional videos gai bahar me,mazdoor,0
Aaj mazdoor dey par UN mazdoro ko bhi hum yaad Kar rahy hyn Jo apna ilaaj karwany bahir mulk gay thy .kio pory Pakistan me ayse mazdoro ka ilaaj momkin na tha,mazdoor,2
There are no applicable labour laws for tumari dharti k mazdoor.,mazdoor,0
Tum logon Ka apna paet Bhar jaey bauhat hai wohi Nahi Bhar Raha Tou iss beechari qoum Ka ya mazdoor Ka khak sochna hai ap logon nay Capt safder Kay Barey Mai tou ap nay Kabhi socha Nahi hai qoum Ka khak Socho gay,mazdoor,2
Or nam k musalmano ney mazdoor ka jeena hraam kar diya apny iqtedaar ki hawas mey .. Ap k mu se ye sab batyn esy jesy munafiqat ki paidawaar ho rhi alfazo ki,mazdoor,0
"Mazdoor ko uska paseena sukhne se pahle mazdoori de diya karo.
----Muhammad(S.A.W)

Note: The people working for you or as a daily wage workers are not your slaves. Treat them well, they are your helpers. 

LabourDay stMay",mazdoor,0
Imran khan bhi mazdoor hi tha jo puri quom k leye mehnat mazduri kr rha tha.....maryam safdar sahiba apny naam k sath safdar lga lain...,mazdoor,0
Mazdoor ki kamar tordi ap logo ne apne . years ke iqtedaar men...ab a gye hamdardian lene.,mazdoor,1
Last year Jo Apki Sindh govt be benazeer mazdoor card ka lollypop Diya tha phele us me to facility do...card Bana Diya mazdoor ka or facility Hai NAI ....,mazdoor,1
"Mazdoor Pakistan ki taraqi ka raaz hain Tm Ho tou hum hain hmain chahye hum Mazddor bhaio k liye bhi aise reforms layen k inh ki zaroriayat puri ho sakain mazdoor hai tou pakistan hai
laboursday LabourDay ",mazdoor,4
"if U do wear Hijab, still Being stubborn to have a stance like liberals then afsos hua. M koi molvi nahi lekin byghyrat bhi nahi. jis din hm ny Gunah ko Gunah kehna chor dia us din sy barbadi shuru or ye Imaan ka kamzor tareem darja hai. Our Prophet Said. (S.A.W)",kamzor,0
Samajwadi party ab kamzor ho gayi hai wo aam aadmi ke muddo ke liye sadak par nahi utar rahi hai jo kisi zamane mein Dharti Putra mulayam sing yadav ji kertay they. Ye baat main bahut analysis ker ke bol raha hoon.aaj wo apne netao ke liye koi awaaz nahi utha Rahi hai.,kamzor,1
Nawaz ki baar to chlo zaati reason ho gai lekin ab to purrye mulk ki izzat gairat ka sawal tha is ko zra shrm na aai k ke agr esa krun ga to mere Pakistan ki kya image reh jaye gi hrr jgga baatein ho ri k america ny inki haqoomt girwa di..itna kamzor mulk,kamzor,2
"
Sir Aslam o Alaikum
Kia hum itny kamzor ho gaye hain k taky k log army against bakwas kr rahy aur hum kuch nahe kr paa rahy. Is tarah to sab ka hosla aur barhy ga sir. Aik law enforcement department ka member hony k naaty mjhy shadeed dukh ho raha sir.",kamzor,0
"Iss beghairat ny qanon badla hy, iss liay ye bkwas kr rha hy. Aor misalain daita hy pehly qomain iss liay tabah hui ky kamzor aor taqarwar k liay alg alg qanon hta tha",kamzor,0
Jahalat ki bi had hotii hai agar Imran Khan ny mulk ko kamzor Kiya America k samny tu amreca ny kiyon sazish kii Khan ko qursii sy hataya loto ko pesy dai kar amreca ny phr kiyon kaha Chen ko k jesko Etna manty thy hamny usko hata Diya hai seet sy,kamzor,0
Jab apko kahin insaaf nahi milta na tou yeh Black Coat hi kam ata hai.. Or jinho ne yeh kya kal ko woh jail me hn ge mintain kar rahe hn ge so Zara smbhal kar khush hn Black Coat ko agar kamzor karo ge kal ko jab khur kahin phanso ge tou tab mere wakeel ko phone karo kaha jata ha,kamzor,3
Apni ghltyon sy abi tk kya seekha hy.? Pehlay he PMLN kamzor hoi pari hy opar sy aisay pangay lu gy tu fana hu jaye gi mazeed.Pakistan awam is waiting your actions but kindly be ready for reaction as well. Defo reaction will be more powerful and dangerous for country.,kamzor,0
Bhai app hakoomat mai hai..batein kam karein aur pakre usko..kis baat ka wait kar rahe hain? Kya apke hakoomat itne kamzor hai?,kamzor,0
ab en chezon ki pak ko zrurat nhi hy bs kuch bln dollors khrch kro aur pak ko kamzor kro barbd kr dalo paki ky dusham ko pta hy. bs nutral logn ko kon samjha unky apny he mazy hain. hm be ksi sy mhbt kya krty thy ab dil sy utar gae gain. jab sy kch log pak py muslt hwe h,kamzor,2
